,time
bP3_2_10,3
bP3_2_11,3
bP3_2_12,3
bP3_2_13,3
bP3_2_14,3
bP3_2_15,3
bP3_2_16,3
bP3_2_17,3
bP3_2_18,3
bP3_2_19,3
bP3_2_20,3
bP3_3_01,3
bP3_3_02,3
bP3_3_03,3
bP3_3_04,3
bP3_3_05,3
bP3_3_06,3
bP3_3_07,3
bP3_3_08,3
bP3_3_09,3
bP3_3_10,3
bP3_3_11,3
bP3_3_12,3
bP3_3_13,3
bP3_3_14,3
bP3_3_15,3
bP3_3_16,3
bP3_3_17,3
bP3_3_18,3
bP3_3_19,3
bP3_3_20,3
bP3_3_21,3
bP3_3_22,3
bP3_3_23,3
bP3_4_01,3
bP3_4_02,3
bP3_4_03,3
bP3_4_04,3
bP3_4_05,3
bP3_4_06,3
bP3_4_07,3
bP3_4_08,3
bP3_4_09,3
bP3_4_10,3
bP3_4_11,3
bP3_4_12,3
bP3_4_13,3
bP3_4_14,3
bP3_4_15,3
bP3_4_16,3
bP3_4_17,3
bP3_5_01,3
bP3_5_02,3
bP3_5_03,3
bP3_5_04,3
bP3_5_05,3
bP3_5_06,3
bP3_5_07,3
bP3_5_08,3
bP3_5_09,3
bP3_5_10,3
bP3_5_11,3
bP9_1_01,9
bP9_1_02,9
bP9_1_03,9
bP9_1_04,9
bP9_1_05,9
bP9_1_06,9
bP9_1_07,9
bP9_1_08,9
bP9_1_09,9
bP9_1_10,9
bP9_1_11,9
bP9_1_12,9
bP9_1_13,9
bP9_1_14,9
bP9_1_15,9
bP9_1_16,9
bP9_1_17,9
bP9_1_18,9
bP9_1_19,9
bP9_1_20,9
bP9_1_21,9
bP9_1_22,9
bP9_1_23,9
bP9_2_01,9
bP9_2_02,9
bP9_2_03,9
bP9_2_04,9
bP9_2_05,9
bP9_2_06,9
bP9_2_07,9
bP9_2_08,9
bP9_2_09,9
bP9_2_10,9
bP9_2_11,9
bP9_2_12,9
bP9_2_13,9
bP9_2_14,9
bP9_2_15,9
bP9_2_16,9
bP9_2_17,9
bP9_2_18,9
bP9_2_19,9
bP9_2_20,9
bP9_2_21,9
bP9_2_22,9
bP9_2_23,9
bP9_3_01,9
bP9_3_02,9
bP9_3_03,9
bP9_3_04,9
bP9_3_05,9
bP9_3_06,9
bP9_3_07,9
bP9_3_08,9
bP9_3_09,9
bP9_3_10,9
bP9_3_11,9
bP9_3_12,9
bP9_3_13,9
bP9_3_14,9
bP9_3_15,9
bP9_3_16,9
bP9_3_17,9
bP9_3_18,9
bP9_3_19,9
bP9_4_01,9
bP9_4_02,9
bP9_4_03,9
bP9_4_04,9
bP9_4_05,9
bP9_4_06,9
bP9_4_07,9
bP9_4_08,9
bP9_4_09,9
bP9_4_10,9
bP9_4_11,9
bP9_4_12,9
bP15_1_01,15
bP15_1_02,15
bP15_1_03,15
bP15_1_04,15
bP15_1_05,15
bP15_1_06,15
bP15_1_07,15
bP15_1_08,15
bP15_1_09,15
bP15_1_10,15
bP15_1_11,15
bP15_1_12,15
bP15_1_13,15
bP15_1_14,15
bP15_1_15,15
bP15_1_16,15
bP15_1_17,15
bP15_1_18,15
bP15_1_19,15
bP15_1_20,15
bP15_2_01,15
bP15_2_02,15
bP15_2_03,15
bP15_2_04,15
bP15_2_05,15
bP15_2_06,15
bP15_2_07,15
bP15_2_08,15
bP15_2_09,15
bP15_2_10,15
bP15_2_11,15
bP15_2_12,15
bP15_2_13,15
bP15_2_14,15
bP15_2_15,15
bP15_2_16,15
bP15_2_17,15
bP15_2_18,15
bP15_2_19,15
bP15_2_20,15
bP15_2_21,15
bP15_2_22,15
bP15_2_23,15
bP15_2_24,15
bP15_2_25,15
bP15_2_26,15
bP15_2_27,15
bP15_3_01,15
bP15_3_02,15
bP15_3_03,15
bP15_3_04,15
bP15_3_05,15
bP15_3_06,15
bP15_3_07,15
bP15_3_08,15
bP15_3_09,15
bP15_3_10,15
bP18_1_01,18
bP18_1_02,18
bP18_1_03,18
bP18_1_04,18
bP18_1_05,18
bP18_1_06,18
bP18_1_07,18
bP18_1_08,18
bP18_1_09,18
bP18_1_10,18
bP18_1_11,18
bP18_1_12,18
bP18_1_13,18
bP18_1_14,18
bP18_1_15,18
bP18_1_16,18
bP18_1_17,18
bP18_1_18,18
bP18_1_19,18
bP18_1_20,18
bP18_1_21,18
bP18_1_22,18
bP18_1_23,18
bP18_1_24,18
bP18_1_25,18
bP18_1_26,18
bP18_1_27,18
bP18_1_28,18
bP18_1_29,18
bP18_1_30,18
bP18_1_31,18
bP18_2_01,18
bP18_2_02,18
bP18_2_03,18
bP18_2_04,18
bP18_2_05,18
bP18_2_06,18
bP18_2_07,18
bP18_2_08,18
bP18_2_09,18
bP18_2_10,18
bP18_2_11,18
bP18_2_12,18
bP18_2_13,18
bP18_2_14,18
bP18_2_15,18
bP18_2_16,18
bP18_2_17,18
bP18_2_18,18
bP18_2_19,18
bP18_2_20,18
bP18_2_21,18
bP18_2_22,18
bP18_2_23,18
bP18_2_24,18
bP18_2_25,18
bP18_2_26,18
bP18_2_27,18
bP18_2_28,18
bP18_2_29,18
bP18_2_30,18
bP18_2_31,18
bP18_2_32,18
bP18_2_33,18
bP18_2_34,18
bP18_2_35,18
bP18_3_01,18
bP18_3_02,18
bP18_3_03,18
bP18_3_04,18
bP18_3_05,18
bP60_1_01,60
bP60_1_02,60
bP60_1_03,60
bP60_1_04,60
bP60_1_05,60
bP60_1_06,60
bP60_1_07,60
bP60_1_08,60
bP60_1_09,60
bP60_1_10,60
bP60_1_11,60
bP60_1_12,60
bP60_1_13,60
bP60_1_14,60
bP60_1_15,60
bP60_1_16,60
bP60_1_17,60
bP60_1_18,60
bP60_1_19,60
bP60_1_20,60
bP60_1_21,60
bP60_1_22,60
bP60_1_23,60
bP60_1_24,60
bP60_1_25,60
bP60_1_26,60
bP60_1_27,60
bP60_1_28,60
bP60_1_29,60
bP60_1_30,60
bP60_1_31,60
bP60_1_32,60
bP60_1_33,60
bP60_1_34,60
bP60_1_35,60
bP60_1_36,60
bP60_1_37,60
bP60_1_38,60
bP60_1_39,60
bP60_2_01,60
bP60_2_02,60
bP60_2_03,60
bP60_2_04,60
bP60_2_05,60
bP60_2_06,60
bP60_2_07,60
bP60_2_08,60
bP60_2_09,60
bP60_2_10,60
bP60_2_11,60
bP60_2_12,60
bP60_2_13,60
bP60_2_14,60
bP60_3_01,60
bP60_3_02,60
bP60_3_03,60
bP60_3_04,60
bP60_3_05,60
bP60_3_06,60
bP60_3_07,60
bP60_3_08,60
bP60_3_09,60
bP60_3_10,60
bP60_3_11,60
bP60_3_12,60
bP60_3_13,60
bP60_3_14,60
bP60_3_15,60
bP60_3_16,60
bP60_3_17,60
bP60_3_18,60
bP60_3_19,60
bP60_3_20,60
bP60_3_21,60
bP60_3_22,60
bP60_3_23,60
bP60_3_24,60
bP60_3_25,60
bP60_3_26,60
bP60_3_27,60
bP60_3_28,60
bP60_3_29,60
bP60_4_01,60
bP60_4_02,60
bP60_4_03,60
bP60_4_04,60
bP60_4_05,60
bP60_4_06,60
bP60_4_07,60
bP60_4_08,60
bP60_4_09,60
bP60_4_10,60
bP60_4_11,60
bP60_4_12,60
bP60_4_13,60
bP60_4_14,60
bP60_4_15,60
bP60_4_16,60
bP60_4_17,60
bP60_4_18,60
bP60_4_19,60
bP60_4_20,60
bP60_4_21,60
bP60_4_22,60
bP60_4_23,60
bP60_4_24,60
bP60_4_25,60
bP60_4_26,60
bP60_5_01,60
bP60_5_02,60
bP60_5_03,60
bP60_5_04,60
bP60_5_05,60
bP60_5_06,60
bP60_5_07,60
bP60_5_08,60
bP60_5_09,60
bP60_5_10,60
bP60_5_11,60
bP60_5_12,60
bP60_5_13,60
bP60_5_14,60
bP60_5_15,60
bP60_5_16,60
bP60_5_17,60
bP60_5_18,60
bP60_5_19,60
bP60_5_20,60
bP60_5_21,60
bE17.5_2_32,-1
bE17.5_3_22,-1
bE17.5_3_23,-1
bE17.5_3_24,-1
bP0_1_34,0
bP0_1_35,0
bP0_2_30,0
bP0_2_31,0
bP9_2_24,9
bP9_2_25,9
bP9_2_26,9
bP9_4_13,9
bP15_1_21,15
bP15_1_22,15
bP60_1_40,60
bP60_3_30,60
